id_integration,id_etudiant,qualite_relation_camarades,niveau_integration_sociale,isolement_social,victime_harcelement,type_harcelement,pair_ayant_decroche_avant,qualite_relation_enseignants,beneficie_soutien_camarades,beneficie_soutien_enseignants,participation_activites_campus
1,1,Neutre,Élevé,0,0,Aucun,1,Neutre,1,0,Jamais
2,2,Bonne,Moyen,1,0,Aucun,0,Neutre,1,1,Jamais
3,3,Bonne,Élevé,0,0,Aucun,0,Bonne,0,1,Parfois
4,4,Neutre,Moyen,1,0,Aucun,0,Bonne,0,0,Rarement
5,5,Neutre,Très faible,1,0,Aucun,0,Bonne,0,1,Rarement
6,6,Très mauvaise,Faible,0,0,Aucun,0,Très mauvaise,1,1,Parfois
7,7,Très mauvaise,Moyen,0,0,Aucun,0,Bonne,1,0,Parfois
8,8,Mauvaise,Faible,0,0,Aucun,0,Bonne,0,0,Parfois
9,9,Neutre,Faible,0,0,Aucun,0,Bonne,1,0,Parfois
10,10,Très bonne,Très faible,0,0,Aucun,0,Très bonne,0,0,Rarement
11,11,Bonne,Très faible,0,0,Aucun,1,Bonne,0,1,Souvent
12,12,Très bonne,Très élevé,0,0,Aucun,0,Bonne,1,0,Parfois
13,13,Bonne,Moyen,0,0,Aucun,0,Neutre,0,1,Parfois
14,14,Bonne,Très faible,0,0,Aucun,0,Neutre,1,0,Parfois
15,15,Neutre,Faible,0,0,Aucun,1,Neutre,1,0,Souvent
16,16,Très bonne,Élevé,0,0,Aucun,1,Bonne,1,0,Rarement
17,17,Mauvaise,Moyen,0,0,Aucun,1,Très mauvaise,1,1,Parfois
18,18,Mauvaise,Moyen,0,1,Aucun,0,Très bonne,0,0,Souvent
19,19,Neutre,Très faible,0,0,Aucun,0,Mauvaise,1,0,Souvent
20,20,Neutre,Faible,0,0,Aucun,1,Neutre,1,0,Rarement
21,21,Neutre,Moyen,0,0,Aucun,1,Bonne,0,0,Parfois
22,22,Très bonne,Faible,0,0,Aucun,1,Bonne,0,1,Rarement
23,23,Bonne,Très élevé,0,1,Aucun,1,Très bonne,1,0,Rarement
24,24,Bonne,Élevé,1,0,Aucun,1,Très bonne,0,1,Rarement
25,25,Bonne,Élevé,0,0,Aucun,0,Bonne,1,1,Souvent
26,26,Bonne,Faible,0,0,Aucun,0,Neutre,1,1,Jamais
27,27,Neutre,Faible,0,0,Aucun,0,Bonne,1,0,Souvent
28,28,Mauvaise,Faible,0,0,Aucun,1,Bonne,0,0,Jamais
29,29,Neutre,Très faible,0,0,Aucun,0,Neutre,1,0,Parfois
30,30,Mauvaise,Moyen,1,0,Aucun,0,Mauvaise,0,0,Rarement
31,31,Neutre,Très faible,0,0,Aucun,0,Neutre,1,0,Parfois
32,32,Bonne,Faible,0,0,Aucun,0,Bonne,1,1,Souvent
33,33,Bonne,Moyen,0,1,Aucun,1,Bonne,0,1,Rarement
34,34,Bonne,Faible,0,0,Aucun,0,Très bonne,0,1,Souvent
35,35,Bonne,Élevé,0,0,Aucun,0,Très mauvaise,1,0,Jamais
36,36,Neutre,Faible,0,0,Aucun,1,Bonne,1,0,Rarement
37,37,Bonne,Moyen,0,0,Aucun,0,Très mauvaise,1,1,Jamais
38,38,Bonne,Faible,0,0,Aucun,1,Bonne,0,0,Jamais
39,39,Très bonne,Moyen,1,0,Moral,0,Très bonne,1,1,Rarement
40,40,Bonne,Élevé,0,0,Aucun,1,Très bonne,0,1,Parfois
41,41,Neutre,Faible,1,0,Aucun,0,Neutre,0,1,Parfois
42,42,Bonne,Élevé,0,0,Aucun,0,Bonne,1,0,Rarement
43,43,Bonne,Très élevé,0,0,Aucun,0,Très bonne,1,0,Rarement
44,44,Bonne,Moyen,0,0,Aucun,0,Très bonne,1,0,Rarement
45,45,Bonne,Faible,0,1,Aucun,0,Très mauvaise,0,0,Rarement
46,46,Très mauvaise,Élevé,0,0,Verbal,1,Neutre,1,1,Rarement
47,47,Bonne,Faible,0,1,Aucun,0,Mauvaise,1,1,Jamais
48,48,Bonne,Faible,0,0,Aucun,0,Neutre,1,0,Parfois
49,49,Neutre,Moyen,0,0,Aucun,1,Bonne,1,0,Parfois
50,50,Neutre,Faible,0,0,Aucun,0,Neutre,0,0,Parfois
51,51,Neutre,Très élevé,0,0,Aucun,0,Mauvaise,0,1,Souvent
52,52,Très bonne,Élevé,0,0,Aucun,0,Bonne,1,0,Souvent
53,53,Neutre,Faible,0,0,Aucun,0,Bonne,1,0,Rarement
54,54,Bonne,Élevé,0,0,Aucun,0,Bonne,0,0,Rarement
55,55,Neutre,Faible,0,0,Aucun,0,Neutre,1,0,Parfois
56,56,Bonne,Faible,0,0,Aucun,0,Mauvaise,1,1,Parfois
57,57,Mauvaise,Faible,0,0,Aucun,0,Très mauvaise,1,1,Parfois
58,58,Très bonne,Élevé,1,0,Aucun,0,Bonne,0,1,Souvent
59,59,Très bonne,Très élevé,1,0,Aucun,0,Bonne,0,0,Souvent
60,60,Neutre,Moyen,0,0,Aucun,0,Bonne,1,0,Rarement
61,61,Neutre,Élevé,0,0,Aucun,1,Bonne,0,0,Parfois
62,62,Bonne,Très faible,0,0,Aucun,0,Très bonne,0,0,Parfois
63,63,Neutre,Moyen,1,0,Aucun,0,Neutre,1,0,Parfois
64,64,Très mauvaise,Moyen,0,0,Aucun,1,Mauvaise,0,0,Rarement
65,65,Mauvaise,Très élevé,0,0,Aucun,1,Très bonne,1,0,Souvent
66,66,Bonne,Faible,0,0,Aucun,1,Mauvaise,0,0,Parfois
67,67,Bonne,Élevé,0,0,Aucun,0,Neutre,1,0,Souvent
68,68,Bonne,Élevé,0,0,Aucun,1,Très bonne,1,0,Rarement
69,69,Neutre,Moyen,0,0,Aucun,1,Neutre,1,0,Parfois
70,70,Très bonne,Élevé,0,0,Aucun,1,Neutre,1,1,Jamais
71,71,Mauvaise,Moyen,0,0,Aucun,1,Mauvaise,0,0,Rarement
72,72,Bonne,Élevé,0,0,Aucun,0,Très bonne,1,0,Souvent
73,73,Très bonne,Élevé,0,1,Aucun,0,Bonne,0,1,Rarement
74,74,Très bonne,Faible,1,0,Aucun,0,Mauvaise,1,0,Jamais
75,75,Neutre,Moyen,0,0,Aucun,0,Bonne,1,0,Parfois
76,76,Bonne,Faible,0,0,Aucun,0,Très bonne,1,1,Parfois
77,77,Très bonne,Très élevé,1,0,Aucun,1,Bonne,1,0,Jamais
78,78,Bonne,Moyen,0,0,Aucun,1,Très bonne,1,1,Souvent
79,79,Neutre,Faible,0,0,Aucun,0,Mauvaise,0,0,Souvent
80,80,Neutre,Très faible,0,1,Aucun,0,Très bonne,1,0,Jamais
81,81,Neutre,Faible,0,0,Aucun,1,Bonne,1,0,Jamais
82,82,Très bonne,Très élevé,0,0,Aucun,0,Mauvaise,1,1,Parfois
83,83,Neutre,Faible,0,0,Aucun,1,Neutre,0,0,Rarement
84,84,Bonne,Très élevé,0,0,Aucun,1,Neutre,1,0,Parfois
85,85,Bonne,Moyen,0,0,Aucun,0,Très bonne,1,0,Rarement
86,86,Bonne,Très élevé,1,0,Aucun,0,Très mauvaise,0,0,Parfois
87,87,Bonne,Très élevé,0,0,Aucun,0,Neutre,0,0,Parfois
88,88,Très bonne,Moyen,0,0,Aucun,0,Très bonne,0,0,Jamais
89,89,Bonne,Très faible,0,0,Aucun,0,Très bonne,1,0,Rarement
90,90,Bonne,Élevé,0,0,Aucun,0,Bonne,1,0,Rarement
91,91,Bonne,Élevé,0,0,Aucun,0,Bonne,0,0,Parfois
92,92,Neutre,Élevé,0,1,Aucun,1,Bonne,0,1,Souvent
93,93,Neutre,Très élevé,1,0,Aucun,1,Bonne,0,0,Jamais
94,94,Bonne,Très faible,0,0,Aucun,0,Neutre,0,0,Jamais
95,95,Bonne,Très élevé,0,0,Aucun,0,Neutre,1,0,Jamais
96,96,Très bonne,Élevé,0,0,Aucun,0,Neutre,1,0,Parfois
97,97,Mauvaise,Moyen,1,0,Aucun,0,Neutre,0,0,Jamais
98,98,Neutre,Élevé,0,0,Aucun,0,Bonne,1,0,Jamais
99,99,Bonne,Élevé,0,0,Aucun,0,Neutre,0,1,Souvent
100,100,Bonne,Très faible,0,0,Cyberharcèlement,0,Bonne,1,1,Parfois
101,101,Neutre,Moyen,0,0,Aucun,0,Très bonne,1,1,Jamais
102,102,Bonne,Élevé,0,0,Aucun,1,Mauvaise,0,0,Souvent
103,103,Neutre,Moyen,0,0,Aucun,0,Mauvaise,1,0,Souvent
104,104,Bonne,Faible,1,0,Aucun,1,Très bonne,1,1,Parfois
105,105,Neutre,Moyen,0,0,Aucun,0,Neutre,1,1,Souvent
106,106,Bonne,Faible,0,1,Aucun,0,Neutre,1,0,Parfois
107,107,Bonne,Moyen,0,0,Aucun,1,Neutre,1,0,Parfois
108,108,Très bonne,Élevé,0,0,Aucun,0,Bonne,1,0,Rarement
109,109,Bonne,Élevé,0,0,Aucun,1,Bonne,1,1,Jamais
110,110,Très mauvaise,Très faible,0,0,Aucun,0,Très mauvaise,1,0,Rarement
111,111,Bonne,Moyen,0,0,Aucun,1,Très mauvaise,0,1,Jamais
112,112,Neutre,Moyen,0,0,Aucun,0,Bonne,1,0,Jamais
113,113,Bonne,Moyen,0,0,Aucun,0,Bonne,0,0,Jamais
114,114,Très bonne,Très faible,0,0,Aucun,0,Neutre,1,0,Rarement
115,115,Neutre,Élevé,0,0,Aucun,1,Neutre,0,0,Souvent
116,116,Bonne,Très élevé,0,0,Cyberharcèlement,1,Bonne,1,0,Jamais
117,117,Très bonne,Moyen,0,0,Aucun,0,Neutre,1,0,Rarement
