id_note,id_etudiant,id_matiere,id_classe,id_temps,note,mention,statut_validation,nb_absences,annee_scolaire,est_rattrapage
1,1,11,65,9,13.84,Assez Bien,Validé,0,2022-23,0
2,1,11,65,10,15.99,Bien,Validé,0,2022-23,0
3,1,12,65,11,15.93,Bien,Validé,1,2022-23,0
4,1,12,65,12,17.03,Très Bien,Validé,2,2022-23,0
5,1,13,65,9,14.82,Bien,Validé,0,2022-23,0
6,1,13,65,10,14.81,Bien,Validé,0,2022-23,0
7,1,14,65,11,12.92,Assez Bien,Validé,1,2022-23,0
8,1,14,65,12,14.67,Bien,Validé,0,2022-23,0
9,1,28,65,11,14.46,Bien,Validé,1,2022-23,0
10,1,28,65,12,12.3,Assez Bien,Validé,0,2022-23,0
11,1,11,95,13,16.42,Très Bien,Validé,0,2023-24,0
12,1,11,95,14,17.02,Très Bien,Validé,0,2023-24,0
13,1,12,95,15,15.83,Bien,Validé,0,2023-24,0
14,1,12,95,16,16.64,Très Bien,Validé,0,2023-24,0
15,1,13,95,13,14.62,Bien,Validé,1,2023-24,0
16,1,13,95,14,14.46,Bien,Validé,1,2023-24,0
17,1,14,95,15,13.96,Assez Bien,Validé,1,2023-24,0
18,1,14,95,16,15.07,Bien,Validé,0,2023-24,0
19,1,28,95,15,14.98,Bien,Validé,1,2023-24,0
20,1,28,95,16,15.72,Bien,Validé,0,2023-24,0
21,2,11,67,9,11.06,Passable,Validé,0,2022-23,0
22,2,11,67,10,10.03,Passable,Validé,1,2022-23,0
23,2,12,67,11,13.5,Assez Bien,Validé,0,2022-23,0
24,2,12,67,12,9.71,Insuffisant,Non Validé,1,2022-23,0
25,2,13,67,9,13.93,Assez Bien,Validé,2,2022-23,0
26,2,13,67,10,14.48,Bien,Validé,0,2022-23,0
27,2,14,67,11,10.16,Passable,Validé,0,2022-23,0
28,2,14,67,12,14.86,Bien,Validé,0,2022-23,0
29,2,28,67,11,15.0,Bien,Validé,2,2022-23,0
30,2,28,67,12,11.26,Passable,Validé,0,2022-23,0
31,2,11,96,13,13.73,Assez Bien,Validé,1,2023-24,0
32,2,11,96,14,15.9,Bien,Validé,1,2023-24,0
33,2,12,96,15,13.28,Assez Bien,Validé,0,2023-24,0
34,2,12,96,16,12.52,Assez Bien,Validé,2,2023-24,0
35,2,13,96,13,15.68,Bien,Validé,0,2023-24,0
36,2,13,96,14,12.2,Assez Bien,Validé,0,2023-24,0
37,2,14,96,15,11.69,Passable,Validé,3,2023-24,0
38,2,14,96,16,12.2,Assez Bien,Validé,1,2023-24,0
39,2,28,96,15,13.29,Assez Bien,Validé,2,2023-24,0
40,2,28,96,16,14.9,Bien,Validé,0,2023-24,0
41,3,1,60,9,16.99,Très Bien,Validé,1,2022-23,0
42,3,1,60,10,14.64,Bien,Validé,0,2022-23,0
43,3,2,60,9,12.96,Assez Bien,Validé,0,2022-23,0
44,3,2,60,10,14.45,Bien,Validé,0,2022-23,0
45,3,3,60,11,14.84,Bien,Validé,0,2022-23,0
46,3,3,60,12,15.68,Bien,Validé,1,2022-23,0
47,3,4,60,11,15.05,Bien,Validé,0,2022-23,0
48,3,4,60,12,12.57,Assez Bien,Validé,0,2022-23,0
49,3,5,60,9,15.23,Bien,Validé,0,2022-23,0
50,3,5,60,10,14.43,Bien,Validé,0,2022-23,0
51,3,6,60,11,15.8,Bien,Validé,0,2022-23,0
52,3,6,60,12,14.69,Bien,Validé,0,2022-23,0
53,3,27,60,9,15.59,Bien,Validé,0,2022-23,0
54,3,27,60,10,15.07,Bien,Validé,1,2022-23,0
55,3,1,89,13,14.13,Bien,Validé,1,2023-24,0
56,3,1,89,14,17.3,Très Bien,Validé,0,2023-24,0
57,3,2,89,13,13.75,Assez Bien,Validé,0,2023-24,0
58,3,2,89,14,14.52,Bien,Validé,0,2023-24,0
59,3,3,89,15,12.96,Assez Bien,Validé,1,2023-24,0
60,3,3,89,16,15.32,Bien,Validé,1,2023-24,0
61,3,4,89,15,14.18,Bien,Validé,2,2023-24,0
62,3,4,89,16,14.71,Bien,Validé,1,2023-24,0
63,3,5,89,13,17.24,Très Bien,Validé,0,2023-24,0
64,3,5,89,14,19.15,Très Bien,Validé,0,2023-24,0
65,3,6,89,15,13.07,Assez Bien,Validé,0,2023-24,0
66,3,6,89,16,17.05,Très Bien,Validé,2,2023-24,0
67,3,27,89,13,16.13,Très Bien,Validé,0,2023-24,0
68,3,27,89,14,17.19,Très Bien,Validé,0,2023-24,0
69,4,15,68,9,13.57,Assez Bien,Validé,0,2022-23,0
70,4,15,68,10,11.75,Passable,Validé,0,2022-23,0
71,4,16,68,11,16.4,Très Bien,Validé,1,2022-23,0
72,4,16,68,12,13.89,Assez Bien,Validé,1,2022-23,0
73,4,15,99,13,14.56,Bien,Validé,2,2023-24,0
74,4,15,99,14,15.54,Bien,Validé,0,2023-24,0
75,4,16,99,15,10.82,Passable,Validé,0,2023-24,0
76,4,16,99,16,11.82,Passable,Validé,1,2023-24,0
77,5,25,113,13,10.08,Passable,Validé,1,2023-24,0
78,5,25,113,14,12.11,Assez Bien,Validé,2,2023-24,0
79,6,1,88,13,11.01,Passable,Validé,0,2023-24,0
80,6,1,88,14,10.65,Passable,Validé,3,2023-24,0
81,6,2,88,13,11.87,Passable,Validé,2,2023-24,0
82,6,2,88,14,10.78,Passable,Validé,2,2023-24,0
83,6,3,88,15,11.35,Passable,Validé,3,2023-24,0
84,6,3,88,16,8.43,Insuffisant,Non Validé,2,2023-24,0
85,6,4,88,15,13.04,Assez Bien,Validé,3,2023-24,0
86,6,4,88,16,11.03,Passable,Validé,0,2023-24,0
87,6,5,88,13,11.95,Passable,Validé,3,2023-24,0
88,6,5,88,14,11.95,Passable,Validé,3,2023-24,0
89,6,6,88,15,10.29,Passable,Validé,1,2023-24,0
90,6,6,88,16,12.44,Assez Bien,Validé,1,2023-24,0
91,6,27,88,13,15.55,Bien,Validé,0,2023-24,0
92,6,27,88,14,7.19,Insuffisant,Non Validé,1,2023-24,0
93,7,25,55,5,10.21,Passable,Validé,1,2021-22,0
94,7,25,55,6,14.56,Bien,Validé,1,2021-22,0
95,7,25,84,9,14.07,Bien,Validé,1,2022-23,0
96,7,25,84,10,12.85,Assez Bien,Validé,2,2022-23,0
97,7,25,113,13,14.07,Bien,Validé,0,2023-24,0
98,7,25,113,14,13.31,Assez Bien,Validé,1,2023-24,0
99,8,11,9,1,12.37,Assez Bien,Validé,1,2020-21,0
100,8,11,9,2,11.18,Passable,Validé,1,2020-21,0
101,8,12,9,3,12.04,Assez Bien,Validé,0,2020-21,0
102,8,12,9,4,12.24,Assez Bien,Validé,2,2020-21,0
103,8,13,9,1,11.19,Passable,Validé,1,2020-21,0
104,8,13,9,2,16.08,Très Bien,Validé,1,2020-21,0
105,8,14,9,3,12.0,Assez Bien,Validé,0,2020-21,0
106,8,14,9,4,11.15,Passable,Validé,0,2020-21,0
107,8,28,9,3,13.87,Assez Bien,Validé,0,2020-21,0
108,8,28,9,4,13.69,Assez Bien,Validé,1,2020-21,0
109,8,11,36,5,12.74,Assez Bien,Validé,1,2021-22,0
110,8,11,36,6,14.1,Bien,Validé,4,2021-22,0
111,8,12,36,7,13.91,Assez Bien,Validé,1,2021-22,0
112,8,12,36,8,14.66,Bien,Validé,3,2021-22,0
113,8,13,36,5,10.74,Passable,Validé,0,2021-22,0
114,8,13,36,6,13.94,Assez Bien,Validé,0,2021-22,0
115,8,14,36,7,12.05,Assez Bien,Validé,1,2021-22,0
116,8,14,36,8,12.65,Assez Bien,Validé,1,2021-22,0
117,8,28,36,7,10.77,Passable,Validé,0,2021-22,0
118,8,28,36,8,15.03,Bien,Validé,1,2021-22,0
119,8,11,67,9,13.86,Assez Bien,Validé,1,2022-23,0
120,8,11,67,10,12.91,Assez Bien,Validé,1,2022-23,0
121,8,12,67,11,11.95,Passable,Validé,0,2022-23,0
122,8,12,67,12,13.86,Assez Bien,Validé,2,2022-23,0
123,8,13,67,9,14.25,Bien,Validé,1,2022-23,0
124,8,13,67,10,11.15,Passable,Validé,0,2022-23,0
125,8,14,67,11,12.28,Assez Bien,Validé,0,2022-23,0
126,8,14,67,12,18.9,Très Bien,Validé,0,2022-23,0
127,8,28,67,11,13.78,Assez Bien,Validé,1,2022-23,0
128,8,28,67,12,12.67,Assez Bien,Validé,1,2022-23,0
129,9,21,51,5,14.07,Bien,Validé,2,2021-22,0
130,9,21,51,6,13.41,Assez Bien,Validé,1,2021-22,0
131,9,22,51,7,8.22,Insuffisant,Non Validé,1,2021-22,0
132,9,22,51,8,15.17,Bien,Validé,0,2021-22,0
133,9,21,81,9,10.78,Passable,Validé,0,2022-23,0
134,9,21,81,10,12.59,Assez Bien,Validé,1,2022-23,0
135,9,22,81,11,13.11,Assez Bien,Validé,0,2022-23,0
136,9,22,81,12,13.78,Assez Bien,Validé,0,2022-23,0
137,9,21,107,13,11.95,Passable,Validé,2,2023-24,0
138,9,21,107,14,13.18,Assez Bien,Validé,1,2023-24,0
139,9,22,107,15,15.16,Bien,Validé,0,2023-24,0
140,9,22,107,16,10.92,Passable,Validé,0,2023-24,0
141,10,26,86,9,15.06,Bien,Validé,0,2022-23,0
142,10,26,86,10,15.5,Bien,Validé,0,2022-23,0
143,10,26,115,13,16.66,Très Bien,Validé,1,2023-24,0
144,10,26,115,14,16.42,Très Bien,Validé,0,2023-24,0
145,11,17,43,5,9.6,Insuffisant,Non Validé,1,2021-22,0
146,11,17,43,6,11.2,Passable,Validé,3,2021-22,0
147,11,18,43,5,10.95,Passable,Validé,1,2021-22,0
148,11,18,43,6,11.86,Passable,Validé,0,2021-22,0
149,11,17,73,9,9.67,Insuffisant,Non Validé,3,2022-23,0
150,11,17,73,10,14.53,Bien,Validé,1,2022-23,0
151,11,18,73,9,9.58,Insuffisant,Non Validé,1,2022-23,0
152,11,18,73,10,10.6,Passable,Validé,0,2022-23,0
153,11,17,101,13,10.86,Passable,Validé,0,2023-24,0
154,11,17,101,14,8.56,Insuffisant,Non Validé,0,2023-24,0
155,11,18,101,13,15.34,Bien,Validé,0,2023-24,0
156,11,18,101,14,8.8,Insuffisant,Non Validé,0,2023-24,0
157,12,19,75,9,13.89,Assez Bien,Validé,2,2022-23,0
158,12,19,75,10,15.28,Bien,Validé,1,2022-23,0
159,12,20,75,11,13.55,Assez Bien,Validé,1,2022-23,0
160,12,20,75,12,12.0,Assez Bien,Validé,1,2022-23,0
161,12,19,105,13,16.41,Très Bien,Validé,1,2023-24,0
162,12,19,105,14,13.69,Assez Bien,Validé,0,2023-24,0
163,12,20,105,15,14.74,Bien,Validé,1,2023-24,0
164,12,20,105,16,13.51,Assez Bien,Validé,2,2023-24,0
165,13,1,1,1,10.44,Passable,Validé,0,2020-21,0
166,13,1,1,2,11.72,Passable,Validé,0,2020-21,0
167,13,2,1,1,11.3,Passable,Validé,2,2020-21,0
168,13,2,1,2,11.66,Passable,Validé,0,2020-21,0
169,13,3,1,3,12.87,Assez Bien,Validé,1,2020-21,0
170,13,3,1,4,12.1,Assez Bien,Validé,0,2020-21,0
171,13,4,1,3,11.86,Passable,Validé,0,2020-21,0
172,13,4,1,4,17.44,Très Bien,Validé,2,2020-21,0
173,13,5,1,1,13.29,Assez Bien,Validé,2,2020-21,0
174,13,5,1,2,14.32,Bien,Validé,1,2020-21,0
175,13,6,1,3,13.52,Assez Bien,Validé,1,2020-21,0
176,13,6,1,4,15.96,Bien,Validé,0,2020-21,0
177,13,27,1,1,16.3,Très Bien,Validé,1,2020-21,0
178,13,27,1,2,13.28,Assez Bien,Validé,2,2020-21,0
179,13,1,32,5,10.27,Passable,Validé,0,2021-22,0
180,13,1,32,6,15.31,Bien,Validé,1,2021-22,0
181,13,2,32,5,9.19,Insuffisant,Non Validé,1,2021-22,0
182,13,2,32,6,16.82,Très Bien,Validé,1,2021-22,0
183,13,3,32,7,11.62,Passable,Validé,3,2021-22,0
184,13,3,32,8,16.16,Très Bien,Validé,0,2021-22,0
185,13,4,32,7,12.13,Assez Bien,Validé,0,2021-22,0
186,13,4,32,8,15.05,Bien,Validé,0,2021-22,0
187,13,5,32,5,16.18,Très Bien,Validé,0,2021-22,0
188,13,5,32,6,17.45,Très Bien,Validé,1,2021-22,0
189,13,6,32,7,10.93,Passable,Validé,0,2021-22,0
190,13,6,32,8,11.02,Passable,Validé,1,2021-22,0
191,13,27,32,5,10.8,Passable,Validé,0,2021-22,0
192,13,27,32,6,13.23,Assez Bien,Validé,0,2021-22,0
193,13,1,61,9,11.93,Passable,Validé,0,2022-23,0
194,13,1,61,10,14.33,Bien,Validé,0,2022-23,0
195,13,2,61,9,17.63,Très Bien,Validé,0,2022-23,0
196,13,2,61,10,12.82,Assez Bien,Validé,1,2022-23,0
197,13,3,61,11,14.3,Bien,Validé,1,2022-23,0
198,13,3,61,12,13.86,Assez Bien,Validé,0,2022-23,0
199,13,4,61,11,16.08,Très Bien,Validé,0,2022-23,0
200,13,4,61,12,9.0,Insuffisant,Non Validé,0,2022-23,0
201,13,5,61,9,12.93,Assez Bien,Validé,0,2022-23,0
202,13,5,61,10,13.36,Assez Bien,Validé,0,2022-23,0
203,13,6,61,11,11.9,Passable,Validé,2,2022-23,0
204,13,6,61,12,12.84,Assez Bien,Validé,1,2022-23,0
205,13,27,61,9,13.55,Assez Bien,Validé,2,2022-23,0
206,13,27,61,10,11.87,Passable,Validé,0,2022-23,0
207,14,19,46,5,15.61,Bien,Validé,1,2021-22,0
208,14,19,46,6,10.2,Passable,Validé,2,2021-22,0
209,14,20,46,7,11.52,Passable,Validé,0,2021-22,0
210,14,20,46,8,11.85,Passable,Validé,0,2021-22,0
211,14,19,74,9,8.1,Insuffisant,Non Validé,1,2022-23,0
212,14,19,74,10,14.45,Bien,Validé,0,2022-23,0
213,14,20,74,11,11.88,Passable,Validé,0,2022-23,0
214,14,20,74,12,14.59,Bien,Validé,2,2022-23,0
215,14,19,105,13,12.23,Assez Bien,Validé,2,2023-24,0
216,14,19,105,14,14.2,Bien,Validé,1,2023-24,0
217,14,20,105,15,15.27,Bien,Validé,0,2023-24,0
218,14,20,105,16,14.67,Bien,Validé,2,2023-24,0
219,15,1,60,9,8.9,Insuffisant,Non Validé,2,2022-23,0
220,15,1,60,10,6.11,Insuffisant,Non Validé,1,2022-23,1
221,15,2,60,9,10.25,Passable,Validé,2,2022-23,0
222,15,2,60,10,8.34,Insuffisant,Non Validé,2,2022-23,0
223,15,3,60,11,9.38,Insuffisant,Non Validé,2,2022-23,0
224,15,3,60,12,7.91,Insuffisant,Non Validé,5,2022-23,0
225,15,4,60,11,11.7,Passable,Validé,2,2022-23,0
226,15,4,60,12,7.81,Insuffisant,Non Validé,2,2022-23,0
227,15,5,60,9,10.89,Passable,Validé,1,2022-23,0
228,15,5,60,10,12.0,Assez Bien,Validé,1,2022-23,0
229,15,6,60,11,11.77,Passable,Validé,0,2022-23,0
230,15,6,60,12,5.71,Insuffisant,Non Validé,0,2022-23,0
231,15,27,60,9,5.81,Insuffisant,Non Validé,1,2022-23,1
232,15,27,60,10,13.26,Assez Bien,Validé,1,2022-23,0
233,15,1,89,13,14.02,Bien,Validé,4,2023-24,0
234,15,1,89,14,10.51,Passable,Validé,0,2023-24,0
235,15,2,89,13,12.0,Assez Bien,Validé,2,2023-24,0
236,15,2,89,14,8.76,Insuffisant,Non Validé,1,2023-24,0
237,15,3,89,15,15.07,Bien,Validé,1,2023-24,0
238,15,3,89,16,8.8,Insuffisant,Non Validé,1,2023-24,0
239,15,4,89,15,13.29,Assez Bien,Validé,4,2023-24,0
240,15,4,89,16,14.65,Bien,Validé,0,2023-24,0
241,15,5,89,13,7.2,Insuffisant,Non Validé,2,2023-24,1
242,15,5,89,14,9.29,Insuffisant,Non Validé,0,2023-24,0
243,15,6,89,15,12.31,Assez Bien,Validé,1,2023-24,0
244,15,6,89,16,8.63,Insuffisant,Non Validé,2,2023-24,0
245,15,27,89,13,12.99,Assez Bien,Validé,1,2023-24,0
246,15,27,89,14,11.93,Passable,Validé,0,2023-24,0
247,16,19,16,1,10.55,Passable,Validé,0,2020-21,0
248,16,19,16,2,10.27,Passable,Validé,0,2020-21,0
249,16,20,16,3,10.26,Passable,Validé,0,2020-21,0
250,16,20,16,4,13.11,Assez Bien,Validé,0,2020-21,0
251,16,19,46,5,14.11,Bien,Validé,0,2021-22,0
252,16,19,46,6,9.94,Insuffisant,Non Validé,2,2021-22,0
253,16,20,46,7,13.46,Assez Bien,Validé,2,2021-22,0
254,16,20,46,8,10.98,Passable,Validé,2,2021-22,0
255,16,20,74,11,11.52,Passable,Validé,2,2022-23,0
256,16,20,74,12,9.06,Insuffisant,Non Validé,2,2022-23,0
257,16,19,74,9,9.38,Insuffisant,Non Validé,1,2022-23,0
258,16,19,74,10,12.53,Assez Bien,Validé,1,2022-23,0
259,17,7,64,9,16.73,Très Bien,Validé,0,2022-23,0
260,17,7,64,10,11.71,Passable,Validé,1,2022-23,0
261,17,8,64,9,11.36,Passable,Validé,0,2022-23,0
262,17,8,64,10,11.9,Passable,Validé,0,2022-23,0
263,17,9,64,11,16.73,Très Bien,Validé,0,2022-23,0
264,17,9,64,12,9.37,Insuffisant,Non Validé,2,2022-23,0
265,17,10,64,11,7.43,Insuffisant,Non Validé,1,2022-23,1
266,17,10,64,12,9.11,Insuffisant,Non Validé,0,2022-23,0
267,17,7,92,13,11.5,Passable,Validé,0,2023-24,0
268,17,7,92,14,12.81,Assez Bien,Validé,1,2023-24,0
269,17,8,92,13,13.68,Assez Bien,Validé,0,2023-24,0
270,17,8,92,14,14.25,Bien,Validé,0,2023-24,0
271,17,9,92,15,13.26,Assez Bien,Validé,0,2023-24,0
272,17,9,92,16,9.46,Insuffisant,Non Validé,0,2023-24,0
273,17,10,92,15,10.81,Passable,Validé,1,2023-24,0
274,17,10,92,16,12.75,Assez Bien,Validé,0,2023-24,0
275,18,23,53,5,12.85,Assez Bien,Validé,3,2021-22,0
276,18,23,53,6,12.94,Assez Bien,Validé,0,2021-22,0
277,18,24,53,7,11.74,Passable,Validé,2,2021-22,0
278,18,24,53,8,12.37,Assez Bien,Validé,0,2021-22,0
279,18,23,83,9,10.12,Passable,Validé,2,2022-23,0
280,18,23,83,10,16.29,Très Bien,Validé,0,2022-23,0
281,18,24,83,11,15.35,Bien,Validé,0,2022-23,0
282,18,24,83,12,9.96,Insuffisant,Non Validé,1,2022-23,0
283,18,23,111,13,14.98,Bien,Validé,0,2023-24,0
284,18,23,111,14,12.42,Assez Bien,Validé,2,2023-24,0
285,18,24,111,15,13.58,Assez Bien,Validé,1,2023-24,0
286,18,24,111,16,13.16,Assez Bien,Validé,1,2023-24,0
287,19,17,44,5,10.46,Passable,Validé,0,2021-22,0
288,19,17,44,6,15.29,Bien,Validé,1,2021-22,0
289,19,18,44,5,14.25,Bien,Validé,2,2021-22,0
290,19,18,44,6,14.35,Bien,Validé,1,2021-22,0
291,19,17,72,9,15.85,Bien,Validé,0,2022-23,0
292,19,17,72,10,12.19,Assez Bien,Validé,0,2022-23,0
293,19,18,72,9,10.44,Passable,Validé,1,2022-23,0
294,19,18,72,10,10.45,Passable,Validé,1,2022-23,0
295,19,17,102,13,11.66,Passable,Validé,1,2023-24,0
296,19,17,102,14,14.76,Bien,Validé,0,2023-24,0
297,19,18,102,13,12.91,Assez Bien,Validé,0,2023-24,0
298,19,18,102,14,12.13,Assez Bien,Validé,1,2023-24,0
299,20,25,55,5,10.35,Passable,Validé,1,2021-22,0
300,20,25,55,6,14.0,Bien,Validé,3,2021-22,0
301,20,25,84,9,10.17,Passable,Validé,3,2022-23,0
302,20,25,84,10,12.6,Assez Bien,Validé,1,2022-23,0
303,20,25,114,13,12.98,Assez Bien,Validé,1,2023-24,0
304,20,25,114,14,11.82,Passable,Validé,1,2023-24,0
305,21,26,29,1,13.46,Assez Bien,Validé,3,2020-21,0
306,21,26,29,2,12.82,Assez Bien,Validé,1,2020-21,0
307,21,26,57,5,14.86,Bien,Validé,2,2021-22,0
308,21,26,57,6,15.32,Bien,Validé,1,2021-22,0
309,21,26,87,9,16.96,Très Bien,Validé,0,2022-23,0
310,21,26,87,10,16.08,Très Bien,Validé,1,2022-23,0
311,22,7,34,5,12.84,Assez Bien,Validé,1,2021-22,0
312,22,7,34,6,9.74,Insuffisant,Non Validé,1,2021-22,0
313,22,8,34,5,12.21,Assez Bien,Validé,2,2021-22,0
314,22,8,34,6,13.66,Assez Bien,Validé,1,2021-22,0
315,22,9,34,7,9.48,Insuffisant,Non Validé,0,2021-22,0
316,22,9,34,8,13.3,Assez Bien,Validé,0,2021-22,0
317,22,10,34,7,10.21,Passable,Validé,1,2021-22,0
318,22,10,34,8,14.85,Bien,Validé,0,2021-22,0
319,22,7,64,9,11.25,Passable,Validé,2,2022-23,0
320,22,7,64,10,14.56,Bien,Validé,0,2022-23,0
321,22,8,64,9,13.89,Assez Bien,Validé,2,2022-23,0
322,22,8,64,10,12.68,Assez Bien,Validé,1,2022-23,0
323,22,9,64,11,17.06,Très Bien,Validé,3,2022-23,0
324,22,9,64,12,11.71,Passable,Validé,1,2022-23,0
325,22,10,64,11,11.64,Passable,Validé,0,2022-23,0
326,22,10,64,12,11.95,Passable,Validé,0,2022-23,0
327,22,7,91,13,9.37,Insuffisant,Non Validé,1,2023-24,0
328,22,7,91,14,14.11,Bien,Validé,0,2023-24,0
329,22,8,91,13,10.85,Passable,Validé,2,2023-24,0
