id_etudiant,isolement_social,victime_harcelement,difficultes_financieres_recurrentes,estime_de_soi,frequence_etude_lecons,score_risque,niveau_risque
1,0,0,0,Élevée,Parfois,0,Risque faible
2,1,0,1,Moyenne,Parfois,6,Risque élevé
3,0,0,0,Élevée,Régulièrement,0,Risque faible
4,1,0,1,Faible,Intensivement,7,Risque élevé
5,1,0,0,Faible,Jamais,8,Risque élevé
6,0,0,1,Moyenne,Intensivement,5,Risque modéré
7,0,0,0,Élevée,Régulièrement,1,Risque faible
8,0,0,1,Moyenne,Parfois,4,Risque modéré
9,0,0,0,Faible,Régulièrement,3,Risque modéré
10,0,0,0,Élevée,Intensivement,0,Risque faible
11,0,0,0,Élevée,Jamais,4,Risque modéré
12,0,0,0,Moyenne,Régulièrement,2,Risque faible
13,0,0,0,Élevée,Rarement,2,Risque faible
14,0,0,0,Faible,Jamais,6,Risque élevé
15,0,0,0,Moyenne,Régulièrement,3,Risque modéré
16,0,0,0,Faible,Intensivement,4,Risque modéré
17,0,0,0,Élevée,Parfois,2,Risque faible
18,0,1,1,Élevée,Parfois,5,Risque modéré
19,0,0,0,Faible,Régulièrement,4,Risque modéré
20,0,0,0,Moyenne,Régulièrement,2,Risque faible
21,0,0,0,Élevée,Rarement,2,Risque faible
22,0,0,1,Moyenne,Rarement,6,Risque élevé
23,0,1,1,Moyenne,Rarement,7,Risque élevé
24,1,0,0,Faible,Régulièrement,4,Risque modéré
25,0,0,0,Moyenne,Régulièrement,1,Risque faible
26,0,0,0,Élevée,Rarement,1,Risque faible
27,0,0,0,Moyenne,Rarement,3,Risque modéré
28,0,0,1,Élevée,Régulièrement,4,Risque modéré
29,0,0,1,Élevée,Intensivement,3,Risque modéré
30,1,0,0,Faible,Intensivement,6,Risque élevé
31,0,0,1,Moyenne,Intensivement,4,Risque modéré
32,0,0,0,Moyenne,Rarement,3,Risque modéré
33,0,1,0,Élevée,Parfois,3,Risque modéré
34,0,0,0,Élevée,Intensivement,1,Risque faible
35,0,0,1,Élevée,Intensivement,2,Risque faible
36,0,0,0,Élevée,Parfois,0,Risque faible
37,0,0,1,Faible,Intensivement,4,Risque modéré
38,0,0,1,Moyenne,Régulièrement,5,Risque modéré
39,1,0,0,Moyenne,Intensivement,4,Risque modéré
40,0,0,0,Moyenne,Parfois,2,Risque faible
41,1,0,0,Faible,Régulièrement,5,Risque modéré
42,0,0,0,Moyenne,Parfois,1,Risque faible
43,0,0,1,Moyenne,Régulièrement,4,Risque modéré
44,0,0,1,Élevée,Parfois,4,Risque modéré
45,0,1,1,Faible,Parfois,7,Risque élevé
46,0,0,0,Moyenne,Jamais,5,Risque modéré
47,0,1,1,Faible,Régulièrement,8,Risque élevé
48,0,0,0,Moyenne,Parfois,3,Risque modéré
49,0,0,0,Faible,Parfois,3,Risque modéré
50,0,0,1,Élevée,Parfois,3,Risque modéré
51,0,0,1,Moyenne,Parfois,4,Risque modéré
52,0,0,0,Élevée,Intensivement,0,Risque faible
53,0,0,0,Moyenne,Rarement,4,Risque modéré
54,0,0,0,Moyenne,Intensivement,2,Risque faible
55,0,0,0,Élevée,Parfois,1,Risque faible
56,0,0,1,Moyenne,Régulièrement,5,Risque modéré
57,0,0,1,Élevée,Rarement,5,Risque modéré
58,1,0,0,Élevée,Régulièrement,2,Risque faible
59,1,0,0,Faible,Parfois,4,Risque modéré
60,0,0,0,Moyenne,Parfois,1,Risque faible
61,0,0,0,Moyenne,Intensivement,1,Risque faible
62,0,0,0,Élevée,Intensivement,1,Risque faible
63,1,0,0,Moyenne,Rarement,5,Risque modéré
64,0,0,1,Moyenne,Jamais,7,Risque élevé
65,0,0,0,Élevée,Régulièrement,0,Risque faible
66,0,0,0,Faible,Régulièrement,4,Risque modéré
67,0,0,0,Moyenne,Intensivement,2,Risque faible
68,0,0,1,Faible,Intensivement,5,Risque modéré
69,0,0,1,Moyenne,Intensivement,4,Risque modéré
70,0,0,0,Moyenne,Régulièrement,2,Risque faible
71,0,0,0,Moyenne,Régulièrement,2,Risque faible
72,0,0,0,Élevée,Régulièrement,1,Risque faible
73,0,1,1,Moyenne,Parfois,6,Risque élevé
74,1,0,1,Faible,Jamais,10,Très haut risque
75,0,0,0,Élevée,Rarement,1,Risque faible
76,0,0,0,Moyenne,Jamais,4,Risque modéré
77,1,0,0,Moyenne,Régulièrement,4,Risque modéré
78,0,0,0,Élevée,Régulièrement,0,Risque faible
79,0,0,0,Moyenne,Intensivement,3,Risque modéré
80,0,1,0,Moyenne,Régulièrement,4,Risque modéré
81,0,0,0,Moyenne,Intensivement,3,Risque modéré
82,0,0,0,Élevée,Parfois,0,Risque faible
83,0,0,0,Faible,Parfois,3,Risque modéré
84,0,0,1,Faible,Parfois,6,Risque élevé
85,0,0,0,Élevée,Parfois,1,Risque faible
86,1,0,1,Faible,Régulièrement,7,Risque élevé
87,0,0,1,Élevée,Régulièrement,3,Risque modéré
88,0,0,1,Moyenne,Intensivement,4,Risque modéré
89,0,0,0,Moyenne,Parfois,2,Risque faible
90,0,0,1,Moyenne,Régulièrement,4,Risque modéré
91,0,0,1,Moyenne,Jamais,7,Risque élevé
92,0,1,0,Moyenne,Rarement,5,Risque modéré
93,1,0,0,Moyenne,Intensivement,3,Risque modéré
94,0,0,0,Élevée,Parfois,1,Risque faible
95,0,0,0,Moyenne,Régulièrement,3,Risque modéré
96,0,0,0,Élevée,Régulièrement,0,Risque faible
97,1,0,0,Moyenne,Parfois,5,Risque modéré
98,0,0,0,Moyenne,Intensivement,2,Risque faible
99,0,0,0,Élevée,Régulièrement,1,Risque faible
100,0,0,1,Moyenne,Régulièrement,4,Risque modéré
101,0,0,0,Moyenne,Intensivement,1,Risque faible
102,0,0,0,Moyenne,Régulièrement,2,Risque faible
