"id_classe";"code_classe";"id_filiere";"niveau_annee";"annee_scolaire";"effectif_inscrit";"salle"
"1";"001-L1-2020";"1";"L1";"2020-21";"80";"Bloc A-01"
"2";"001-L2-2020";"1";"L2";"2020-21";"87";"Bloc C-04"
"3";"001-L3-2020";"1";"L3";"2020-21";"54";"Bloc B-02"
"4";"002-L1-2020";"2";"L1";"2020-21";"83";"Bloc A-10"
"5";"002-L2-2020";"2";"L2";"2020-21";"67";"Bloc A-01"
"6";"002-L3-2020";"2";"L3";"2020-21";"45";"Bloc B-04"
"7";"003-L1-2020";"3";"L1";"2020-21";"72";"Bloc A-09"
"8";"003-L2-2020";"3";"L2";"2020-21";"52";"Bloc D-04"
"9";"003-L3-2020";"3";"L3";"2020-21";"68";"Bloc C-01"
"10";"004-L1-2020";"4";"L1";"2020-21";"88";"Bloc B-07"
"11";"004-L2-2020";"4";"L2";"2020-21";"61";"Bloc C-03"
"12";"004-L3-2020";"4";"L3";"2020-21";"53";"Bloc C-02"
"13";"005-L1-2020";"5";"L1";"2020-21";"45";"Bloc D-02"
"14";"005-L2-2020";"5";"L2";"2020-21";"62";"Bloc C-10"
"15";"005-L3-2020";"5";"L3";"2020-21";"56";"Bloc A-08"
"16";"006-L1-2020";"6";"L1";"2020-21";"74";"Bloc A-07"
"17";"006-L2-2020";"6";"L2";"2020-21";"45";"Bloc C-10"
"18";"006-L3-2020";"6";"L3";"2020-21";"96";"Bloc C-10"
"19";"007-G1-2020";"7";"G1";"2020-21";"52";"Bloc A-01"
"20";"007-G2-2020";"7";"G2";"2020-21";"82";"Bloc B-05"
"21";"007-G3-2020";"7";"G3";"2020-21";"45";"Bloc B-02"
"22";"007-G4-2020";"7";"G4";"2020-21";"64";"Bloc C-08"
"23";"007-G5-2020";"7";"G5";"2020-21";"80";"Bloc C-03"
"24";"008-M1-2020";"8";"M1";"2020-21";"63";"Bloc C-04"
"25";"008-M2-2020";"8";"M2";"2020-21";"82";"Bloc C-02"
"26";"009-M1-2020";"9";"M1";"2020-21";"78";"Bloc B-09"
"27";"009-M2-2020";"9";"M2";"2020-21";"86";"Bloc B-03"
"28";"010-BTS1-2020";"10";"BTS1";"2020-21";"69";"Bloc D-05"
"29";"010-BTS2-2020";"10";"BTS2";"2020-21";"99";"Bloc B-06"
"30";"001-L1-2021";"1";"L1";"2021-22";"93";"Bloc A-04"
"31";"001-L2-2021";"1";"L2";"2021-22";"92";"Bloc A-06"
"32";"001-L3-2021";"1";"L3";"2021-22";"65";"Bloc C-02"
"33";"002-L1-2021";"2";"L1";"2021-22";"53";"Bloc C-04"
"34";"002-L2-2021";"2";"L2";"2021-22";"81";"Bloc D-07"
"35";"002-L3-2021";"2";"L3";"2021-22";"96";"Bloc D-03"
"36";"003-L1-2021";"3";"L1";"2021-22";"56";"Bloc B-04"
"37";"003-L2-2021";"3";"L2";"2021-22";"87";"Bloc C-10"
"38";"003-L3-2021";"3";"L3";"2021-22";"67";"Bloc D-06"
"39";"004-L1-2021";"4";"L1";"2021-22";"54";"Bloc B-09"
"40";"004-L2-2021";"4";"L2";"2021-22";"71";"Bloc A-01"
"41";"004-L3-2021";"4";"L3";"2021-22";"95";"Bloc A-03"
"42";"005-L1-2021";"5";"L1";"2021-22";"80";"Bloc B-07"
"43";"005-L2-2021";"5";"L2";"2021-22";"78";"Bloc A-07"
"44";"005-L3-2021";"5";"L3";"2021-22";"64";"Bloc D-09"
"45";"006-L1-2021";"6";"L1";"2021-22";"56";"Bloc A-02"
"46";"006-L2-2021";"6";"L2";"2021-22";"83";"Bloc C-06"
"47";"006-L3-2021";"6";"L3";"2021-22";"47";"Bloc C-07"
"48";"007-G1-2021";"7";"G1";"2021-22";"50";"Bloc D-01"
"49";"007-G2-2021";"7";"G2";"2021-22";"86";"Bloc C-09"
