"id_difficulte";"id_etudiant";"maitrise_metier_etudiant";"difficulte_adaptation_methodes";"difficulte_taille_groupes";"interet_lecture_ecriture";"frequence_etude_lecons";"attente_veille_examens";"participation_examens_semestriels";"passé_scolaire_difficile";"decrochage_anterieur_sec_prim";"difficultes_pedagogiques_specifiques"
"1";"1";"Très mauvaise";"Légère";"0";"Élevé";"Parfois";"1";"Tous";"0";"0";"Compréhension des cours"
"2";"2";"Moyenne";"Légère";"1";"Élevé";"Parfois";"1";"Tous";"0";"0";"Compréhension des cours"
"3";"3";"Très bonne";"Sévère";"0";"Élevé";"Régulièrement";"0";"Quelques-uns";"0";"0";"Expression écrite"
"4";"4";"Bonne";"Modérée";"0";"Moyen";"Intensivement";"0";"Tous";"1";"0";"Compréhension des cours"
"5";"5";"Mauvaise";"Modérée";"0";"Élevé";"Jamais";"1";"Quelques-uns";"0";"0";"Expression écrite"
"6";"6";"Mauvaise";"Aucune";"0";"Élevé";"Intensivement";"1";"Tous";"1";"0";"Expression écrite"
"7";"7";"Moyenne";"Aucune";"0";"Moyen";"Régulièrement";"0";"Tous";"0";"0";"Expression écrite"
"8";"8";"Très bonne";"Aucune";"1";"Moyen";"Parfois";"0";"Tous";"0";"0";"Aucune"
"9";"9";"Moyenne";"Légère";"0";"Faible";"Régulièrement";"1";"La plupart";"0";"0";"Aucune"
"10";"10";"Bonne";"Modérée";"0";"Élevé";"Intensivement";"0";"Tous";"0";"0";"Compréhension des cours"
"11";"11";"Très mauvaise";"Sévère";"0";"Faible";"Jamais";"1";"Tous";"0";"0";"Gestion du stress"
"12";"12";"Très mauvaise";"Modérée";"0";"Moyen";"Régulièrement";"1";"La plupart";"0";"0";"Aucune"
"13";"13";"Très bonne";"Légère";"1";"Moyen";"Rarement";"1";"Tous";"1";"0";"Expression écrite"
"14";"14";"Moyenne";"Sévère";"1";"Faible";"Jamais";"1";"Tous";"0";"0";"Aucune"
"15";"15";"Très mauvaise";"Sévère";"0";"Faible";"Régulièrement";"1";"Quelques-uns";"0";"0";"Expression écrite"
"16";"16";"Très mauvaise";"Aucune";"0";"Moyen";"Intensivement";"0";"La plupart";"1";"0";"Organisation du travail"
"17";"17";"Très bonne";"Sévère";"0";"Faible";"Parfois";"0";"Quelques-uns";"0";"0";"Mémorisation"
"18";"18";"Mauvaise";"Légère";"0";"Moyen";"Parfois";"0";"La plupart";"0";"0";"Expression écrite"
"19";"19";"Mauvaise";"Modérée";"0";"Moyen";"Régulièrement";"0";"Tous";"0";"0";"Aucune"
"20";"20";"Moyenne";"Légère";"0";"Élevé";"Régulièrement";"0";"Tous";"0";"0";"Mémorisation"
"21";"21";"Très bonne";"Légère";"1";"Moyen";"Rarement";"1";"Tous";"0";"0";"Organisation du travail"
"22";"22";"Très bonne";"Modérée";"0";"Moyen";"Rarement";"1";"Quelques-uns";"1";"1";"Expression écrite"
"23";"23";"Très bonne";"Sévère";"1";"Élevé";"Rarement";"1";"Tous";"1";"1";"Aucune"
"24";"24";"Très mauvaise";"Sévère";"0";"Élevé";"Régulièrement";"0";"Tous";"0";"0";"Aucune"
"25";"25";"Bonne";"Aucune";"1";"Élevé";"Régulièrement";"0";"Tous";"0";"0";"Expression écrite"
"26";"26";"Bonne";"Légère";"0";"Élevé";"Rarement";"1";"La plupart";"0";"0";"Aucune"
"27";"27";"Bonne";"Légère";"1";"Faible";"Rarement";"1";"Tous";"0";"0";"Expression écrite"
"28";"28";"Bonne";"Modérée";"0";"Faible";"Régulièrement";"0";"Tous";"0";"0";"Aucune"
"29";"29";"Bonne";"Aucune";"1";"Moyen";"Intensivement";"0";"Tous";"1";"0";"Aucune"
"30";"30";"Mauvaise";"Légère";"0";"Élevé";"Intensivement";"0";"Tous";"0";"0";"Mémorisation"
"31";"31";"Moyenne";"Aucune";"1";"Faible";"Intensivement";"0";"Tous";"0";"0";"Expression écrite"
"32";"32";"Bonne";"Sévère";"1";"Élevé";"Rarement";"0";"Tous";"0";"0";"Aucune"
"33";"33";"Mauvaise";"Modérée";"1";"Moyen";"Parfois";"0";"Tous";"1";"0";"Compréhension des cours"
