"id_filiere";"code_filiere";"nom_filiere";"domaine";"duree_annees";"niveau_diplome"
"1";"FIL001";"Informatique";"Sciences & Technologie";"3";"Licence"
"2";"FIL002";"Mathématiques";"Sciences Fondamentales";"3";"Licence"
"3";"FIL003";"Économie-Gestion";"Sciences Sociales";"3";"Licence"
"4";"FIL004";"Lettres Modernes";"Sciences Humaines";"3";"Licence"
"5";"FIL005";"Sciences Biologiques";"Sciences de la Vie";"3";"Licence"
"6";"FIL006";"Droit";"Sciences Juridiques";"3";"Licence"
"7";"FIL007";"Génie Civil";"Sciences & Technologie";"5";"Master"
"8";"FIL008";"Informatique";"Sciences & Technologie";"2";"Master"
"9";"FIL009";"Management";"Sciences Sociales";"2";"Master"
"10";"FIL010";"Comptabilité-Finance";"Sciences Sociales";"2";"BTS"
