"id_situation_eco";"id_etudiant";"mode_vie";"a_emploi_remunere";"heures_emploi_semaine";"type_emploi";"beneficie_bourse";"montant_bourse_mensuel_fcfa";"source_financement_principale";"difficultes_financieres_recurrentes";"depenses_mensuelles_fcfa"
"1";"1";"Chez les parents";"0";"0";"Aucun";"0";"0";"Parents uniquement";"0";"198633"
"2";"2";"Chez les parents";"0";"0";"Aucun";"1";"26678";"Parents uniquement";"1";"50108"
"3";"3";"Location colocation";"1";"5";"Petits boulots";"1";"72272";"Bourse + parents";"0";"120919"
"4";"4";"Cité universitaire";"0";"0";"Aucun";"1";"45496";"Parents uniquement";"1";"48236"
"5";"5";"Cité universitaire";"1";"30";"Commerce informel";"0";"0";"Bourse + parents";"0";"24111"
"6";"6";"Location colocation";"0";"0";"Aucun";"0";"0";"Parents uniquement";"1";"51417"
"7";"7";"Chez un proche";"0";"0";"Aucun";"1";"21497";"Emploi rémunéré";"0";"106889"
"8";"8";"Location seul";"0";"0";"Aucun";"0";"0";"Bourse + parents";"1";"100161"
"9";"9";"Location colocation";"0";"0";"Aucun";"0";"0";"Emploi rémunéré";"0";"88773"
"10";"10";"Location seul";"0";"0";"Aucun";"0";"0";"Emploi rémunéré";"0";"215170"
"11";"11";"Chez un proche";"0";"0";"Aucun";"0";"0";"Parents + emploi";"0";"62649"
"12";"12";"Chez un proche";"0";"0";"Aucun";"0";"0";"Emploi rémunéré";"0";"103282"
"13";"13";"Location colocation";"0";"0";"Aucun";"0";"0";"Parents uniquement";"0";"106758"
"14";"14";"Cité universitaire";"1";"10";"Petits boulots";"1";"46824";"Bourse + parents";"0";"34882"
"15";"15";"Location colocation";"0";"0";"Aucun";"0";"0";"Parents uniquement";"0";"27597"
"16";"16";"Chez un proche";"0";"0";"Aucun";"1";"33927";"Emploi rémunéré";"0";"26922"
"17";"17";"Chez les parents";"0";"0";"Aucun";"0";"0";"Bourse + parents";"0";"38860"
"18";"18";"Cité universitaire";"0";"0";"Aucun";"0";"0";"Parents uniquement";"1";"107112"
"19";"19";"Location colocation";"0";"0";"Aucun";"1";"27294";"Emploi rémunéré";"0";"43441"
"20";"20";"Chez les parents";"0";"0";"Aucun";"0";"0";"Parents uniquement";"0";"91366"
"21";"21";"Chez les parents";"0";"0";"Aucun";"0";"0";"Parents uniquement";"0";"106128"
"22";"22";"Cité universitaire";"0";"0";"Aucun";"0";"0";"Bourse uniquement";"1";"54659"
"23";"23";"Cité universitaire";"0";"0";"Aucun";"0";"0";"Bourse + parents";"1";"75223"
"24";"24";"Chez un proche";"0";"0";"Aucun";"0";"0";"Parents uniquement";"0";"181127"
"25";"25";"Location colocation";"0";"0";"Aucun";"1";"71202";"Bourse + parents";"0";"112775"
"26";"26";"Chez les parents";"0";"0";"Aucun";"0";"0";"Parents uniquement";"0";"204534"
"27";"27";"Cité universitaire";"0";"0";"Aucun";"0";"0";"Bourse + parents";"0";"69034"
"28";"28";"Cité universitaire";"0";"0";"Aucun";"1";"38946";"Parents uniquement";"1";"57219"
"29";"29";"Chez les parents";"0";"0";"Aucun";"1";"34988";"Parents uniquement";"1";"68755"
"30";"30";"Chez un proche";"1";"10";"Commerce informel";"0";"0";"Emploi rémunéré";"0";"45009"
"31";"31";"Cité universitaire";"0";"0";"Aucun";"0";"0";"Bourse + parents";"1";"59707"
"32";"32";"Cité universitaire";"0";"0";"Aucun";"0";"0";"Parents + emploi";"0";"72860"
"33";"33";"Chez les parents";"0";"0";"Aucun";"0";"0";"Bourse + parents";"0";"69829"
"34";"34";"Cité universitaire";"0";"0";"Aucun";"1";"44090";"Parents uniquement";"0";"79415"
"35";"35";"Chez les parents";"0";"0";"Aucun";"0";"0";"Parents uniquement";"1";"198917"
"36";"36";"Chez les parents";"0";"0";"Aucun";"0";"0";"Parents uniquement";"0";"115856"
"37";"37";"Location colocation";"0";"0";"Aucun";"0";"0";"Parents uniquement";"1";"186335"
"38";"38";"Chez un proche";"1";"1";"Commerce informel";"0";"0";"Emploi rémunéré";"1";"44837"
"39";"39";"Location colocation";"0";"0";"Aucun";"0";"0";"Emploi rémunéré";"0";"49516"
"40";"40";"Chez un proche";"0";"0";"Aucun";"0";"0";"Parents uniquement";"0";"89999"
"41";"41";"Location seul";"0";"0";"Aucun";"1";"39849";"Parents uniquement";"0";"70113"
"42";"42";"Chez les parents";"0";"0";"Aucun";"0";"0";"Bourse + parents";"0";"127900"
"43";"43";"Location colocation";"0";"0";"Aucun";"0";"0";"Parents uniquement";"1";"101812"
"44";"44";"Chez les parents";"1";"30";"Auto-emploi";"1";"29439";"Parents uniquement";"1";"42866"
"45";"45";"Location colocation";"0";"0";"Aucun";"0";"0";"Parents + emploi";"1";"72487"
"46";"46";"Location seul";"0";"0";"Aucun";"1";"28017";"Parents uniquement";"0";"61410"
"47";"47";"Location seul";"1";"5";"Emploi formel";"0";"0";"Bourse + parents";"1";"22555"
"48";"48";"Cité universitaire";"0";"0";"Aucun";"0";"0";"Parents + emploi";"0";"54205"
"49";"49";"Chez les parents";"0";"0";"Aucun";"1";"65412";"Parents uniquement";"0";"46254"
