"id_abandon";"id_etudiant";"id_filiere";"annee_scolaire";"annee_abandon";"motif_abandon";"semestre_abandon"
"1";"14";"6";"2023-24";"2023";"Difficultés financières";"2"
"2";"38";"4";"2021-22";"2021";"Manque de motivation";"1"
"3";"54";"10";"2021-22";"2021";"Problème de santé";"2"
"4";"74";"5";"2022-23";"2022";"Raisons familiales";"2"
"5";"93";"10";"2021-22";"2021";"Manque de motivation";"2"
"6";"102";"4";"2021-22";"2021";"Difficultés académiques";"1"
"7";"121";"8";"2022-23";"2022";"Difficultés académiques";"1"
"8";"143";"6";"2023-24";"2023";"Difficultés académiques";"1"
"9";"181";"10";"2023-24";"2023";"Difficultés financières";"2"
"10";"233";"4";"2021-22";"2021";"Difficultés financières";"2"
"11";"254";"2";"2022-23";"2022";"Manque de motivation";"2"
"12";"267";"3";"2021-22";"2021";"Réorientation";"1"
"13";"279";"2";"2021-22";"2021";"Raisons familiales";"2"
"14";"291";"2";"2022-23";"2022";"Réorientation";"1"
"15";"302";"9";"2023-24";"2023";"Problème de santé";"1"
"16";"306";"10";"2020-21";"2020";"Raisons familiales";"2"
"17";"319";"10";"2023-24";"2023";"Difficultés financières";"1"
"18";"333";"5";"2022-23";"2022";"Raisons familiales";"2"
"19";"341";"1";"2021-22";"2021";"Difficultés financières";"2"
"20";"349";"9";"2023-24";"2023";"Problème de santé";"2"
"21";"356";"4";"2022-23";"2022";"Difficultés financières";"2"
"22";"361";"7";"2020-21";"2020";"Autre";"2"
"23";"385";"1";"2023-24";"2023";"Difficultés financières";"1"
"24";"416";"7";"2023-24";"2023";"Raisons familiales";"2"
"25";"430";"3";"2022-23";"2022";"Difficultés financières";"2"
"26";"447";"2";"2023-24";"2023";"Difficultés financières";"1"
"27";"461";"5";"2022-23";"2022";"Réorientation";"2"
"28";"468";"8";"2021-22";"2021";"Difficultés financières";"1"
"29";"470";"2";"2020-21";"2020";"Difficultés financières";"2"
"30";"485";"5";"2021-22";"2021";"Autre";"2"
"31";"489";"9";"2021-22";"2021";"Difficultés académiques";"1"
"32";"500";"9";"2022-23";"2022";"Difficultés financières";"1"
"33";"502";"3";"2022-23";"2022";"Autre";"2"
"34";"505";"5";"2020-21";"2020";"Raisons familiales";"1"
"35";"535";"2";"2023-24";"2023";"Difficultés académiques";"1"
"36";"687";"3";"2022-23";"2022";"Difficultés académiques";"2"
"37";"699";"5";"2022-23";"2022";"Réorientation";"1"
"38";"763";"4";"2021-22";"2021";"Raisons familiales";"1"
"39";"809";"3";"2023-24";"2023";"Raisons familiales";"1"
"40";"819";"8";"2021-22";"2021";"Difficultés académiques";"1"
"41";"821";"3";"2020-21";"2020";"Raisons familiales";"1"
"42";"824";"2";"2022-23";"2022";"Difficultés financières";"2"
"43";"857";"6";"2023-24";"2023";"Difficultés financières";"2"
"44";"876";"6";"2023-24";"2023";"Difficultés financières";"1"
"45";"952";"2";"2020-21";"2020";"Problème de santé";"2"
"46";"1028";"2";"2022-23";"2022";"Difficultés académiques";"1"
"47";"1044";"5";"2022-23";"2022";"Raisons familiales";"2"
"48";"1046";"4";"2022-23";"2022";"Manque de motivation";"2"
"49";"1130";"10";"2022-23";"2022";"Difficultés financières";"2"
