"id_note";"id_etudiant";"id_matiere";"id_classe";"id_temps";"note";"mention";"statut_validation";"nb_absences";"annee_scolaire";"est_rattrapage"
"1";"1";"11";"65";"9";"13.84";"Assez Bien";"Validé";"0";"2022-23";"0"
"2";"1";"11";"65";"10";"15.99";"Bien";"Validé";"0";"2022-23";"0"
"3";"1";"12";"65";"11";"15.93";"Bien";"Validé";"1";"2022-23";"0"
"4";"1";"12";"65";"12";"17.03";"Très Bien";"Validé";"2";"2022-23";"0"
"5";"1";"13";"65";"9";"14.82";"Bien";"Validé";"0";"2022-23";"0"
"6";"1";"13";"65";"10";"14.81";"Bien";"Validé";"0";"2022-23";"0"
"7";"1";"14";"65";"11";"12.92";"Assez Bien";"Validé";"1";"2022-23";"0"
"8";"1";"14";"65";"12";"14.67";"Bien";"Validé";"0";"2022-23";"0"
"9";"1";"28";"65";"11";"14.46";"Bien";"Validé";"1";"2022-23";"0"
"10";"1";"28";"65";"12";"12.3";"Assez Bien";"Validé";"0";"2022-23";"0"
"11";"1";"11";"95";"13";"16.42";"Très Bien";"Validé";"0";"2023-24";"0"
"12";"1";"11";"95";"14";"17.02";"Très Bien";"Validé";"0";"2023-24";"0"
"13";"1";"12";"95";"15";"15.83";"Bien";"Validé";"0";"2023-24";"0"
"14";"1";"12";"95";"16";"16.64";"Très Bien";"Validé";"0";"2023-24";"0"
"15";"1";"13";"95";"13";"14.62";"Bien";"Validé";"1";"2023-24";"0"
"16";"1";"13";"95";"14";"14.46";"Bien";"Validé";"1";"2023-24";"0"
"17";"1";"14";"95";"15";"13.96";"Assez Bien";"Validé";"1";"2023-24";"0"
"18";"1";"14";"95";"16";"15.07";"Bien";"Validé";"0";"2023-24";"0"
"19";"1";"28";"95";"15";"14.98";"Bien";"Validé";"1";"2023-24";"0"
"20";"1";"28";"95";"16";"15.72";"Bien";"Validé";"0";"2023-24";"0"
"21";"2";"11";"67";"9";"11.06";"Passable";"Validé";"0";"2022-23";"0"
"22";"2";"11";"67";"10";"10.03";"Passable";"Validé";"1";"2022-23";"0"
"23";"2";"12";"67";"11";"13.5";"Assez Bien";"Validé";"0";"2022-23";"0"
"24";"2";"12";"67";"12";"9.71";"Insuffisant";"Non Validé";"1";"2022-23";"0"
"25";"2";"13";"67";"9";"13.93";"Assez Bien";"Validé";"2";"2022-23";"0"
"26";"2";"13";"67";"10";"14.48";"Bien";"Validé";"0";"2022-23";"0"
"27";"2";"14";"67";"11";"10.16";"Passable";"Validé";"0";"2022-23";"0"
"28";"2";"14";"67";"12";"14.86";"Bien";"Validé";"0";"2022-23";"0"
"29";"2";"28";"67";"11";"15.0";"Bien";"Validé";"2";"2022-23";"0"
"30";"2";"28";"67";"12";"11.26";"Passable";"Validé";"0";"2022-23";"0"
"31";"2";"11";"96";"13";"13.73";"Assez Bien";"Validé";"1";"2023-24";"0"
"32";"2";"11";"96";"14";"15.9";"Bien";"Validé";"1";"2023-24";"0"
"33";"2";"12";"96";"15";"13.28";"Assez Bien";"Validé";"0";"2023-24";"0"
"34";"2";"12";"96";"16";"12.52";"Assez Bien";"Validé";"2";"2023-24";"0"
"35";"2";"13";"96";"13";"15.68";"Bien";"Validé";"0";"2023-24";"0"
"36";"2";"13";"96";"14";"12.2";"Assez Bien";"Validé";"0";"2023-24";"0"
"37";"2";"14";"96";"15";"11.69";"Passable";"Validé";"3";"2023-24";"0"
"38";"2";"14";"96";"16";"12.2";"Assez Bien";"Validé";"1";"2023-24";"0"
"39";"2";"28";"96";"15";"13.29";"Assez Bien";"Validé";"2";"2023-24";"0"
"40";"2";"28";"96";"16";"14.9";"Bien";"Validé";"0";"2023-24";"0"
"41";"3";"1";"60";"9";"16.99";"Très Bien";"Validé";"1";"2022-23";"0"
"42";"3";"1";"60";"10";"14.64";"Bien";"Validé";"0";"2022-23";"0"
"43";"3";"2";"60";"9";"12.96";"Assez Bien";"Validé";"0";"2022-23";"0"
"44";"3";"2";"60";"10";"14.45";"Bien";"Validé";"0";"2022-23";"0"
"45";"3";"3";"60";"11";"14.84";"Bien";"Validé";"0";"2022-23";"0"
"46";"3";"3";"60";"12";"15.68";"Bien";"Validé";"1";"2022-23";"0"
"47";"3";"4";"60";"11";"15.05";"Bien";"Validé";"0";"2022-23";"0"
"48";"3";"4";"60";"12";"12.57";"Assez Bien";"Validé";"0";"2022-23";"0"
"49";"3";"5";"60";"9";"15.23";"Bien";"Validé";"0";"2022-23";"0"
